,PHI,TETA,PSI,X_ECI,Y_ECI,Z_ECI,latitude,longitude,Data,x,y,z,N1_X,N1_Y,N1_Z,N2_X,N2_Y,N2_Z,N3_X,N3_Y,N3_Z,N4_X,N4_Y,N4_Z,N5_X,N5_Y,N5_Z,N6_X,N6_Y,N6_Z,Terra_X,Terra_Y,Terra_Z,r,fim
0,0.0,1.1082840750140828,-3.1279907593063037,5981.462524175147,36.637320252427585,73.273701322779,0.0008949343615929794,0.06105084467988338,2022-05-10 18:00:10,1.0,0.0,0.0,-0.999907495662161,-0.006068948341864895,-0.012172427229163448,0.013601474869495015,-0.4461565378786348,-0.8948515762904621,0.999907495662161,0.006068948341864895,0.012172427229163448,-0.013601474869495015,0.4461565378786348,0.8948515762904621,0.0,0.8949343616009914,-0.44619781311188195,0.0,-0.8949343616009914,0.44619781311188195,-190.57814486254767,3120.0284520105233,5547.252141982798,5982.023508533926,1
1,3.876761358860993e-18,1.108284074933515,-3.1144063183153494,5979.785264114141,73.07022278782698,146.34679900064017,1.2905267224688375,0.6624934550354102,2022-05-10 18:00:20,0.0,1.0,0.0,-0.9996304743476169,-0.012128989136206868,-0.024326988677026144,0.027182986509182216,-0.446032931645976,-0.8946036603612448,0.9996304743476169,0.012128989136206868,0.024326988677026144,-0.027182986509182216,0.446032931645976,0.8946036603612448,-3.4694469516322886e-18,0.8949343615650422,-0.44619781318398477,3.4694469516322886e-18,-0.8949343615650422,0.44619781318398477,-789.9389561037391,2913.8522981500646,5604.298185764256,5982.022103599469,1
2,2.326056815316598e-17,1.1082840749335163,-3.1008218773243543,5976.992506897103,109.48948875959017,219.39248463737226,2.581015052240599,1.2650993057623987,2022-05-10 18:00:30,-1.0,0.0,0.0,-0.9991689870239638,-0.01818679171628863,-0.03647706096403922,0.04075948195826216,-0.44582701701134875,-0.8941906594978817,0.9991689870239638,0.01818679171628863,0.03647706096403922,-0.04075948195826216,0.44582701701134875,0.8941906594978817,-2.0816681709793765e-17,0.8949343615650429,-0.4461978131839836,2.0816681709793765e-17,-0.8949343615650429,0.4461978131839836,-391.2666474879156,2870.550318061844,5668.997362828472,5982.019762418737,1
3,1.3956340891899597e-16,1.1082840749335168,-3.0872374363333592,5973.084780353015,145.88832448441062,292.39708211567824,3.87321907183183,1.8700409068188617,2022-05-10 18:00:40,0.0,-1.0,0.0,-0.9985231188513961,-0.024241238211324588,-0.048620401985817074,0.054328455888978,-0.4455388320451435,-0.8936126498772098,0.9985231188513961,0.024241238211324588,0.048620401985817074,-0.054328455888978,0.4455388320451435,0.8936126498772098,-1.249000902587627e-16,0.894934361565043,-0.4461978131839832,1.249000902587627e-16,-0.894934361565043,0.4461978131839832,-200.68850262536787,2549.675490014143,5829.371831106706,5982.016486949485,1
4,8.528874989494197e-17,1.108284074933517,-3.073652995342364,5968.062822824622,182.2599402386617,365.3469233097549,5.168007687093782,2.4785127902378847,2022-05-10 18:00:50,0.0,0.0,-1.0,-0.9976929890146797,-0.030291211368878745,-0.0607547708806483,0.06788740436159096,-0.4451684299273417,-0.892869738161772,0.9976929890146797,0.030291211368878745,0.0607547708806483,-0.06788740436159096,0.4451684299273417,0.892869738161772,-7.632783293591053e-17,0.8949343615650431,-0.446197813183983,7.632783293591053e-17,-0.8949343615650431,0.446197813183983,-1436.681717122674,2655.0391984940193,5602.710512294961,5982.012279941349,1
5,1.1630284076583005e-16,1.1082840749335183,-3.0600685543513695,5961.92758300522,218.5975515711666,438.22835073586606,6.466263752223876,3.091742687256836,2022-05-10 18:01:00,0.0,0.0,1.0,-0.9966787507011594,-0.036335594761999074,-0.07287792844248538,0.08143382528640192,-0.4447158790098003,-0.8919620614441875,0.9966787507011594,0.036335594761999074,0.07287792844248538,-0.08143382528640192,0.4447158790098003,0.8919620614441875,-1.0408340854896908e-16,0.8949343615650438,-0.44619781318398183,1.0408340854896908e-16,-0.8949343615650438,0.44619781318398183,-1018.2095267121764,2630.3865857243727,5705.5687151526145,5982.0071449255265,1
6,2.0934511337849422e-16,1.1082840749335192,-3.0464841133603744,5954.680219739796,254.89438061424312,511.0277202004694,7.768889058453466,3.711003742407121,2022-05-10 18:01:10,,,,-0.99548059107249,-0.04237327299523675,-0.08498763753415625,0.09496521888547399,-0.44418126280364184,-0.8908897872218516,0.99548059107249,0.04237327299523675,0.08498763753415625,-0.09496521888547399,0.44418126280364184,0.8908897872218516,-1.8735013538814452e-16,0.8949343615650441,-0.446197813183981,1.8735013538814452e-16,-0.8949343615650441,0.446197813183981,-828.9615758318456,2291.9712930957635,5878.737034363438,5982.00108621207,1
7,1.1630284076583025e-16,1.10828407493352,-3.0328996723693793,5946.322101782443,291.1436573930535,583.7314034449116,9.076809311853301,4.337627611877295,2022-05-10 18:01:20,,,,-0.9940987312300993,-0.04840313191047336,-0.09708166350019044,0.10847908815392436,-0.4435646799638396,-0.8896531133660297,0.9940987312300993,0.04840313191047336,0.09708166350019044,-0.10847908815392436,0.4435646799638396,0.8896531133660297,-1.0408340854896933e-16,0.8949343615650446,-0.4461978131839802,1.0408340854896933e-16,-0.8949343615650446,0.4461978131839802,-410.11286036086045,2254.5621774737547,5937.840973253314,5981.99410888663,1
8,2.1709863609621646e-16,1.1082840749335205,-3.019315231378384,5936.854807510032,327.3386211329779,656.3257907861337,10.390979270496329,4.973018817234301,2022-05-10 18:01:30,,,,-0.9925334261743867,-0.05442405879252291,-0.10915777457919079,0.12197293932070927,-0.4428662442710144,-0.8882522680853412,0.9925334261743867,0.05442405879252291,0.10915777457919079,-0.12197293932070927,0.4428662442710144,0.8882522680853412,-1.9428902929140944e-16,0.8949343615650447,-0.44619781318397983,1.9428902929140944e-16,-0.8949343615650447,0.44619781318397983,-209.42435773549258,1896.552437449296,6071.481110637419,5981.986218806531,1
9,2.093451133784947e-16,1.1082840749335214,-3.005730790387389,5926.280124592369,363.4725215646696,728.7972937526936,11.712388065812974,5.618670700764301,2022-05-10 18:01:40,,,,-0.9907849647576671,-0.06043494257446424,-0.12121374231566963,0.13544428230880898,-0.44208608461043675,-0.8866875098836485,0.9907849647576671,0.06043494257446424,0.12121374231566963,-0.13544428230880898,0.44208608461043675,0.8866875098836485,-1.8735013538814513e-16,0.8949343615650451,-0.44619781318397905,1.8735013538814513e-16,-0.8949343615650451,0.44619781318397905,-2110.9116120202702,2342.5323593013795,5526.761360048087,5981.977422596342,1
